"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.11","22","0.006","-0.856","-0.114","0.7986","-0.4345","0.3262","0.2585"
"0.11","22","-0.005","0.978","-0.087","0.8477","0.4793","-0.11120000000000001","0.198"
"0.115","23","0.722","-0.221","-0.597","0.8004","0.3665","-0.3943","-0.2633"
"0.115","23","0.079","0.903","-0.501","0.5445","0.644","-0.0943","-0.5288"
"0.115","23","0.929","0.034","0.382","0.5044","-0.38170000000000004","-0.7242","0.27440000000000003"
"0.115","23","0.93","0.169","0.353","0.5697","0.12940000000000002","-0.8084","-0.071"
"0.115","23","0.007","-0.842","-0.109","0.7985","-0.4346","0.3269","0.2579"
"0.115","23","-0.002","0.979","-0.067","0.8473","0.4796","-0.1123","0.1983"
"0.12","24","0.721","-0.23","-0.6","0.8010999999999999","0.3675","-0.39039999999999997","-0.2658"
"0.12","24","0.136","0.909","-0.511","0.5479","0.644","-0.095","-0.5252"
"0.12","24","0.925","0.032","0.376","0.5039","-0.3821","-0.7243","0.2745"
"0.12","24","0.929","0.163","0.369","0.5696","0.129","-0.8086","-0.0707"
"0.12","24","0.003","-0.821","-0.106","0.7983","-0.43470000000000003","0.3277","0.25739999999999996"
"0.12","24","-0.006","0.974","-0.069","0.8468","0.4801","-0.1133","0.1985"
"0.125","25","0.729","-0.231","-0.602","0.8016","0.36869999999999997","-0.38639999999999997","-0.2684"
"0.125","25","0.141","0.912","-0.532","0.5514","0.6439","-0.0955","-0.5216000000000001"
"0.125","25","0.92","0.035","0.368","0.5034","-0.3825","-0.7243999999999999","0.2746"
"0.125","25","0.917","0.158","0.38","0.5695","0.1285","-0.8087","-0.07039999999999999"
"0.125","25","-0.01","-0.799","-0.1","0.798","-0.43479999999999996","0.3285","0.2569"
"0.125","25","-0.014","0.961","-0.073","0.8464","0.4806","-0.1143","0.1986"
"0.13","26","0.734","-0.23","-0.603","0.8019999999999999","0.3701","-0.38239999999999996","-0.271"
"0.13","26","0.142","0.918","-0.551","0.5548","0.6437999999999999","-0.0958","-0.518"
"0.13","26","0.908","0.038","0.363","0.5029","-0.3829","-0.7243999999999999","0.2747"
"0.13","26","0.904","0.145","0.388","0.5694","0.128","-0.8089000000000001","-0.0701"
"0.13","26","-0.037","-0.787","-0.088","0.7977000000000001","-0.43499999999999994","0.32930000000000004","0.2564"
"0.13","26","-0.024","0.96","-0.07","0.8460000000000001","0.481","-0.1153","0.1988"
"0.135","27","0.736","-0.225","-0.597","0.8023","0.37160000000000004","-0.37829999999999997","-0.2737"
"0.135","27","0.135","0.917","-0.567","0.5584","0.6436","-0.09609999999999999","-0.5143"
"0.135","27","0.894","0.044","0.364","0.5024","-0.38330000000000003","-0.7245","0.27480000000000004"
"0.135","27","0.891","0.116","0.396","0.5692","0.1275","-0.8090999999999999","-0.06989999999999999"
"0.135","27","-0.06","-0.793","-0.079","0.7974","-0.43520000000000003","0.3302","0.2559"
"0.135","27","-0.023","0.97","-0.061","0.8455","0.48150000000000004","-0.1163","0.19890000000000002"
"0.14","28","0.743","-0.217","-0.589","0.8025","0.3734","-0.3742","-0.2764"
"0.14","28","0.127","0.917","-0.581","0.562","0.6435","-0.0964","-0.5105000000000001"
"0.14","28","0.889","0.052","0.367","0.5019","-0.38380000000000003","-0.7246","0.27490000000000003"
