"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.18","18","0.317","-0.919","0.085","0.6057","-0.721","-0.33490000000000003","-0.0314"
"0.18","18","-1.019","0.036","0.048","-0.2056","0.6239","-0.18660000000000002","0.7304"
"0.18","18","0.055","0.999","-0.076","0.6296","0.6101","0.2975","-0.3776"
"0.19","19","-0.179","-0.423","-0.895","0.5711999999999999","-0.2266","-0.6721","0.413"
"0.19","19","0.394","0.109","-1.001","0.9836","-0.095","-0.1103","0.10629999999999999"
"0.19","19","-0.044","-1.04","-0.003","0.6295","-0.6591","-0.3032","-0.27799999999999997"
"0.19","19","0.321","-0.921","0.086","0.6052","-0.7211000000000001","-0.3355","-0.0314"
"0.19","19","-1.025","0.044","0.045","-0.20539999999999997","0.6238","-0.1861","0.7307"
"0.19","19","0.054","1.0","-0.088","0.6299","0.6094999999999999","0.29769999999999996","-0.3781"
"0.2","20","-0.182","-0.395","-0.918","0.5714","-0.22719999999999999","-0.6723","0.41200000000000003"
"0.2","20","0.403","0.096","-0.979","0.9833999999999999","-0.0957","-0.11040000000000001","0.10669999999999999"
"0.2","20","-0.04","-1.006","-0.004","0.6285999999999999","-0.6594","-0.3039","-0.2785"
"0.2","20","0.324","-0.923","0.088","0.6048","-0.7212","-0.33599999999999997","-0.0314"
"0.2","20","-1.028","0.046","0.043","-0.2052","0.6237","-0.18560000000000001","0.7309"
"0.2","20","0.053","0.987","-0.094","0.6301","0.6088","0.2978","-0.3786"
"0.21","21","-0.176","-0.375","-0.926","0.5714","-0.2279","-0.6725","0.41130000000000005"
"0.21","21","0.354","0.078","-0.943","0.9833999999999999","-0.0964","-0.1099","0.10700000000000001"
"0.21","21","-0.033","-0.969","-0.005","0.6275999999999999","-0.6597000000000001","-0.3047","-0.2792"
"0.21","21","0.324","-0.922","0.093","0.6043999999999999","-0.7213","-0.3365","-0.0313"
"0.21","21","-1.021","0.043","0.039","-0.2051","0.6235","-0.1853","0.7312000000000001"
"0.21","21","0.056","0.974","-0.097","0.6304000000000001","0.6082","0.2979","-0.3791"
"0.22","22","-0.16","-0.377","-0.915","0.5711","-0.229","-0.6726","0.4109"
"0.22","22","0.326","0.074","-0.929","0.9833999999999999","-0.097","-0.1092","0.10740000000000001"
"0.22","22","-0.029","-0.942","-0.006","0.6267","-0.6599999999999999","-0.3054","-0.2798"
"0.22","22","0.321","-0.921","0.1","0.604","-0.7215","-0.337","-0.0313"
"0.22","22","-1.017","0.04","0.038","-0.2051","0.6233","-0.1849","0.7315"
"0.22","22","0.054","0.969","-0.099","0.6305","0.6077","0.2981","-0.3796"
"0.23","23","-0.138","-0.402","-0.902","0.5707","-0.2303","-0.6724","0.41109999999999997"
"0.23","23","0.324","0.072","-0.909","0.9833000000000001","-0.09759999999999999","-0.10840000000000001","0.1078"
"0.23","23","-0.036","-0.926","-0.003","0.6258","-0.6602","-0.30619999999999997","-0.2804"
"0.23","23","0.316","-0.919","0.105","0.6035999999999999","-0.7216","-0.33740000000000003","-0.0312"
"0.23","23","-1.015","0.038","0.036","-0.2051","0.6231","-0.1847","0.7317"
"0.23","23","0.057","0.961","-0.102","0.6306","0.6073000000000001","0.2982","-0.3801"
"0.24","24","-0.126","-0.427","-0.885","0.5700999999999999","-0.2319","-0.6719999999999999","0.41150000000000003"
"0.24","24","0.342","0.069","-0.903","0.9833000000000001","-0.09809999999999999","-0.1075","0.10840000000000001"
"0.24","24","-0.034","-0.927","-0.002","0.6248","-0.6604","-0.307","-0.2811"
"0.24","24","0.311","-0.916","0.109","0.6032","-0.7217","-0.3378","-0.0312"
"0.24","24","-1.013","0.038","0.035","-0.2052","0.6229","-0.1844","0.7319"
"0.24","24","0.06","0.953","-0.101","0.6307","0.6068","0.2983","-0.3806"
"0.25","25","-0.132","-0.444","-0.868","0.5696","-0.2334","-0.6716","0.4121"
"0.25","25","0.35","0.066","-0.903","0.9833000000000001","-0.0986","-0.10640000000000001","0.1091"
"0.25","25","-0.027","-0.94","-0.004","0.6239","-0.6606","-0.3079","-0.2818"
"0.25","25","0.311","-0.917","0.109","0.6027","-0.7219","-0.3383","-0.0312"
"0.25","25","-1.012","0.038","0.036","-0.20529999999999998","0.6228","-0.1842","0.732"
"0.25","25","0.06","0.968","-0.106","0.6307","0.6064","0.2984","-0.3812"
"0.26","26","-0.141","-0.448","-0.857","0.5690999999999999","-0.2347","-0.6712","0.41269999999999996"
"0.26","26","0.324","0.056","-0.898","0.9833000000000001","-0.0991","-0.1055","0.1099"
"0.26","26","-0.016","-0.97","-0.006","0.623","-0.6607000000000001","-0.3088","-0.28250000000000003"
"0.26","26","0.317","-0.926","0.105","0.6023","-0.722","-0.3387","-0.0313"
"0.26","26","-1.013","0.042","0.037","-0.20550000000000002","0.6226","-0.18409999999999999","0.7322"
"0.26","26","0.052","0.988","-0.107","0.6307","0.606","0.2985","-0.3816"
"0.27","27","-0.137","-0.456","-0.85","0.5688","-0.23559999999999998","-0.6708999999999999","0.4131"
"0.27","27","0.295","0.062","-0.891","0.9832000000000001","-0.0996","-0.1048","0.11069999999999999"
"0.27","27","-0.005","-0.998","-0.008","0.6222000000000001","-0.6607000000000001","-0.3097","-0.2832"
"0.27","27","0.319","-0.927","0.106","0.6019","-0.7222000000000001","-0.3392","-0.0313"
"0.27","27","-1.013","0.047","0.035","-0.2057","0.6224000000000001","-0.184","0.7323000000000001"
"0.27","27","0.05","1.008","-0.108","0.6308","0.6057","0.29860000000000003","-0.382"
"0.28","28","-0.133","-0.45","-0.848","0.5687","-0.23610000000000003","-0.6707","0.4133"
"0.28","28","0.308","0.071","-0.864","0.9831","-0.1002","-0.10429999999999999","0.1115"
"0.28","28","0.01","-1.02","-0.002","0.6214999999999999","-0.6607000000000001","-0.3106","-0.2838"
"0.28","28","0.314","-0.921","0.111","0.6014999999999999","-0.7224","-0.3395","-0.0312"
"0.28","28","-1.015","0.05","0.031","-0.20590000000000003","0.6222000000000001","-0.184","0.7323999999999999"
"0.28","28","0.057","1.001","-0.111","0.6309","0.6052","0.2987","-0.38239999999999996"
"0.29","29","-0.144","-0.425","-0.854","0.5687","-0.2363","-0.6707","0.4131"
"0.29","29","0.341","0.075","-0.837","0.983","-0.1006","-0.10389999999999999","0.11220000000000001"
"0.29","29","0.029","-1.015","0.003","0.6211","-0.6605000000000001","-0.3114","-0.2843"
"0.29","29","0.307","-0.914","0.117","0.6012","-0.7224999999999999","-0.3398","-0.0312"
"0.29","29","-1.014","0.051","0.027","-0.2061","0.622","-0.184","0.7325"
"0.29","29","0.059","0.985","-0.121","0.6311","0.6048","0.2988","-0.3828"
"0.3","30","-0.145","-0.408","-0.859","0.5687","-0.23650000000000002","-0.6708000000000001","0.4128"
"0.3","30","0.351","0.072","-0.829","0.983","-0.10069999999999998","-0.10329999999999999","0.11279999999999998"
"0.3","30","0.043","-1.002","0.009","0.6208","-0.6602","-0.3122","-0.2847"
"0.3","30","0.299","-0.911","0.121","0.6008","-0.7226","-0.3402","-0.0311"
"0.3","30","-1.015","0.053","0.026","-0.2063","0.6218","-0.18409999999999999","0.7327"
"0.3","30","0.054","0.97","-0.129","0.6312","0.6043999999999999","0.29900000000000004","-0.3831"
"0.31","31","-0.137","-0.404","-0.858","0.5688","-0.23679999999999998","-0.6708000000000001","0.41269999999999996"
"0.31","31","0.339","0.07","-0.837","0.983","-0.10069999999999998","-0.1025","0.1135"
"0.31","31","0.052","-0.984","0.014","0.6208","-0.6597999999999999","-0.3128","-0.28500000000000003"
"0.31","31","0.291","-0.91","0.126","0.6006","-0.7226","-0.3406","-0.031"
"0.31","31","-1.014","0.058","0.026","-0.2064","0.6216","-0.18409999999999999","0.7328"
"0.31","31","0.048","0.96","-0.131","0.6313","0.604","0.29910000000000003","-0.3835"
"0.32","32","-0.135","-0.412","-0.853","0.5688","-0.2371","-0.6706000000000001","0.41269999999999996"
"0.32","32","0.316","0.064","-0.852","0.9831","-0.1004","-0.1014","0.11410000000000001"
"0.32","32","0.052","-0.973","0.018","0.6209","-0.6594","-0.3133","-0.2851"
"0.32","32","0.287","-0.918","0.128","0.6003000000000001","-0.7227","-0.341","-0.031"
"0.32","32","-0.999","0.062","0.026","-0.20659999999999998","0.6214000000000001","-0.1842","0.7329"
"0.32","32","0.049","0.96","-0.132","0.6313","0.6035999999999999","0.2993","-0.3839"
"0.33","33","-0.13","-0.422","-0.854","0.5688","-0.23759999999999998","-0.6704","0.4128"
"0.33","33","0.317","0.051","-0.849","0.9831","-0.1001","-0.1004","0.1149"
"0.33","33","0.054","-0.965","0.022","0.6212","-0.659","-0.3137","-0.2851"
"0.33","33","0.285","-0.92","0.13","0.6","-0.7227","-0.34140000000000004","-0.031"
"0.33","33","-0.989","0.066","0.026","-0.2068","0.6213","-0.1843","0.7329"
"0.33","33","0.052","0.969","-0.131","0.6313","0.6033000000000001","0.2995","-0.3843"
